Designator,Mid X,Mid Y,Rotation,Layer
C1,103.225,-63.05,180.0,top
C10,110.7,-67.1,270.0,top
C11,118.75,-61.55,0.0,top
C12,118.65,-56.85,0.0,top
C13,108.5,-50.8,270.0,top
C14,101.45,-46.35,0.0,top
C15,85.3,-59.45,0.0,top
C16,85.28,-61.35,0.0,top
C17,90.15,-49.7,0.0,top
C18,90.15,-47.2,0.0,top
C19,104.6,-56.1,0.0,top
C2,115.3,-65.45,270.0,top
C20,100.25,-65.29,0.0,top
C21,100.25,-62.49,0.0,top
C22,102.5,-57.25,180.0,top
C23,112.35,-52.9,90.0,top
C24,101.9,-54.8,0.0,top
C25,127.2,-69.35,180.0,top
C26,127.2,-72.35,180.0,top
C27,125.8,-54.5,270.0,top
C28,128.65,-54.48,270.0,top
C29,127.65,-70.75,90.0,top
C3,113.9,-52.8,90.0,top
C30,126.75,-54.5,90.0,top
C31,85.9,-76.425,0.0,top
C32,113.58,-76.425,180.0,top
C4,104.65,-51.85,270.0,top
C5,86.4,-44.35,0.0,top
C6,108.55,-67.1,270.0,top
C7,113.05,-67.05,270.0,top
C8,102.7,-56.3,180.0,top
C9,101.75,-59.65,180.0,top
FB1,111.73,-76.425,0.0,top
FB2,87.3,-75.925,270.0,top
FB3,127.7,-54.5,270.0,top
FB4,126.7,-70.75,270.0,top
J1,78.95,-52.15,270.0,top
J2,123.35,-43.3,180.0,top
J3,138.4,-66.8,90.0,top
J4,89.95,-81.675,0.0,top
J5,116.38,-81.675,0.0,top
R1,106.65,-53.7,270.0,top
R10,104.95,-55.15,180.0,top
R11,88.3,-75.925,90.0,top
R12,91.8,-75.975,90.0,top
R13,114.98,-75.975,90.0,top
R14,118.18,-75.325,90.0,top
R2,107.65,-53.7,270.0,top
R3,85.3,-60.4,0.0,top
R4,109.9,-53.7,270.0,top
R5,110.85,-53.7,270.0,top
R6,104.95,-64.4,0.0,top
R7,105.2,-54.2,0.0,top
R8,108.6,-53.7,270.0,top
R9,99.8,-63.89,90.0,top
U1,110.675,-59.775,180.0,top
U2,104.95,-48.85,180.0,top
U4,101.5,-49.0375,180.0,top
Y1,97.55,-63.84,90.0,top
